order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior
109,86865,prior,20,0,9,17
110,73241,prior,1,0,15,NULL
111,102275,prior,6,3,17,25
112,125030,train,5,5,14,26
113,128979,prior,2,3,12,30
114,91891,prior,1,0,11,NULL
115,124725,prior,13,0,9,8
116,119087,prior,25,6,18,0
117,75394,prior,15,5,13,8
118,136173,prior,20,4,21,3
119,25967,prior,5,4,11,4
120,23750,prior,11,6,8,10
121,93455,prior,30,1,11,4
122,127081,prior,16,2,1,5
123,99471,prior,17,5,12,6
124,69812,prior,15,5,8,30
125,66104,prior,21,6,12,5
126,66138,prior,4,3,15,11
127,43629,prior,8,6,11,3
128,7440,prior,92,1,14,3
129,169467,prior,7,4,18,3
130,16288,prior,1,0,15,NULL
131,34858,prior,42,3,10,2
132,147650,prior,10,6,12,30
133,162224,prior,50,2,9,2
134,15608,prior,7,1,8,30
135,55179,prior,13,2,12,6
136,184355,prior,12,6,10,6
137,187107,test,9,2,19,30
138,197422,prior,20,0,16,7
139,146988,prior,10,6,18,7
140,67155,prior,13,3,14,20
141,88362,prior,32,4,10,3
142,8841,prior,43,4,22,9
143,130982,prior,7,0,16,7
144,179300,prior,4,3,15,30
145,49610,prior,1,4,12,NULL
146,21343,prior,43,5,16,7
147,181484,prior,16,0,12,20
148,41523,prior,27,2,17,5
149,51424,prior,8,5,13,1
150,126892,prior,4,4,12,2
151,191401,prior,15,6,7,7
152,103040,prior,12,1,10,7
153,24173,prior,4,4,17,4
154,73310,prior,68,6,19,0
155,97415,prior,8,2,12,2
156,111475,prior,7,6,22,20
157,13055,prior,37,6,17,3
158,24721,prior,8,1,15,30
159,16286,prior,38,4,13,3
160,181765,prior,9,4,23,5
161,88526,prior,11,1,23,19
162,198222,prior,8,1,9,5
163,115844,prior,16,2,14,0
164,184017,prior,20,1,10,8
165,162754,prior,4,2,11,12
166,39287,prior,9,0,7,4
167,17547,prior,7,0,12,30
168,117132,prior,18,5,15,2
169,22517,prior,3,0,9,14
170,182389,train,7,0,13,14
171,204184,prior,2,5,12,30
172,30618,prior,17,4,8,8
173,73399,prior,29,6,12,7
174,53965,prior,25,5,9,4
175,10358,prior,42,4,18,2
176,4209,prior,7,1,17,16
177,48308,prior,27,2,16,8
178,971,prior,2,3,11,19
179,84068,prior,4,6,18,4
180,96385,prior,20,6,19,7
181,141062,prior,19,0,16,15
182,115892,test,28,0,11,8
183,104879,prior,38,5,9,4
184,18409,prior,6,0,19,30
185,172793,prior,72,3,1,2
186,167393,prior,1,0,16,NULL
187,26978,prior,43,5,16,9
188,58122,prior,18,6,11,2
189,150723,prior,5,3,16,6
190,189157,prior,3,1,13,30
191,176417,prior,44,3,2,6
192,189954,prior,44,5,14,8
193,133810,prior,8,0,11,7
194,48052,prior,30,0,13,1
195,14264,prior,38,0,16,15
196,177113,prior,6,0,16,24
197,92707,prior,52,5,20,7
198,21336,prior,10,1,9,30
199,143951,prior,5,3,10,16
200,21425,prior,2,5,22,21
201,185440,prior,4,0,15,6
202,154766,prior,8,1,8,4
203,75564,prior,11,4,14,8
204,115481,prior,74,6,9,3
205,190709,prior,14,4,14,6
206,72973,prior,50,0,9,3
207,100208,prior,3,5,14,6
208,68303,prior,7,4,13,6
209,40286,prior,4,0,17,21
210,43756,prior,26,2,22,14
211,183969,prior,1,2,14,NULL
212,83727,prior,17,1,6,5
213,33094,prior,16,3,18,9
214,503,prior,5,0,16,9
215,100052,prior,1,1,11,NULL
216,102339,prior,94,5,15,2
217,112125,prior,2,0,8,21
218,98711,train,12,0,21,17
219,185730,prior,12,0,13,4
220,63952,prior,26,3,17,6
221,177947,prior,1,5,8,NULL
222,145501,prior,27,1,11,8
223,169586,prior,40,0,9,2
224,109534,prior,6,0,14,13
225,130657,prior,9,1,9,22
226,51011,train,4,0,12,30
227,100142,prior,35,1,21,2
228,156462,prior,4,1,16,26
229,47358,prior,7,0,22,8
230,137575,prior,7,2,9,7
231,147443,prior,2,1,18,30
232,56896,prior,1,6,14,NULL
233,29724,prior,20,4,17,8
234,96828,prior,55,1,12,9
235,58701,prior,20,5,9,9
236,97664,prior,2,0,12,10
237,36603,prior,1,2,17,NULL
238,92123,prior,4,6,9,4
239,51178,prior,39,4,9,9
240,183623,prior,64,3,10,3
241,131535,prior,2,2,18,13
242,167125,prior,11,4,13,7
243,62481,prior,3,2,10,30
244,168855,prior,37,6,18,9
245,70322,prior,1,4,9,NULL
246,97039,prior,7,3,4,3
247,82764,prior,15,5,10,22
248,30576,prior,8,5,10,9
249,81951,prior,3,6,8,6
250,34840,prior,13,1,7,17
251,155188,prior,6,1,11,8
252,78634,prior,7,3,18,7
253,44802,prior,7,2,15,7
254,12711,prior,43,6,16,5
255,4076,prior,30,0,20,3
256,95044,prior,14,5,13,13
257,35581,test,9,6,23,5
258,184598,prior,10,1,9,30
259,52205,prior,7,1,12,10
260,21630,prior,7,5,10,11
261,153543,prior,14,0,13,9
262,122266,prior,2,5,19,15
263,62875,prior,8,1,17,25
264,93764,prior,30,5,15,21
265,139432,prior,38,0,9,9
266,99546,prior,2,5,7,28
267,25414,prior,53,0,9,7
268,181567,prior,1,5,18,NULL
269,44103,prior,77,0,11,1
270,201517,prior,1,3,10,NULL
271,119186,prior,7,0,18,27
272,127211,prior,10,5,14,4
273,171199,prior,9,0,14,11
274,64392,prior,8,2,9,15
275,26030,prior,51,1,10,2
276,46527,prior,34,6,11,6
277,109712,prior,4,0,1,7
278,182817,prior,3,6,14,30
279,185432,prior,13,0,12,21
280,1059,prior,27,1,10,6
281,200563,prior,14,2,16,15
282,8456,prior,11,0,12,14
283,89598,prior,10,1,13,2
284,143768,prior,33,4,23,2
285,57561,prior,11,5,18,10
286,91926,prior,2,1,12,30
287,100513,prior,3,1,13,5
288,137357,prior,41,2,7,5
289,5927,prior,14,0,8,7
290,67140,prior,14,0,17,8
291,66046,prior,8,4,22,6
292,29552,prior,15,3,16,7
293,168853,prior,2,4,9,4
294,54538,prior,33,0,12,7
295,186873,prior,12,2,10,11
296,92052,prior,36,1,17,0
297,29096,prior,1,0,11,NULL
298,35569,prior,6,5,17,5
299,10546,prior,12,2,10,6
300,76870,prior,13,6,17,4
301,66567,prior,10,0,10,8
302,54878,prior,12,5,12,8
303,198240,prior,30,3,21,5
304,55713,prior,58,1,13,2
305,150329,prior,21,3,15,5
306,166655,prior,33,2,14,10
307,177808,prior,2,4,11,10
308,176010,prior,8,0,17,10
309,126109,prior,17,5,10,30
310,101311,prior,2,3,10,10
311,25023,prior,17,2,11,30
312,169114,prior,21,4,19,4
313,113359,test,31,6,22,7
314,174117,prior,4,5,8,12
315,133849,prior,33,2,16,3
316,190581,prior,6,1,11,30
317,179469,prior,4,0,18,30
318,108940,prior,23,4,22,8
319,102031,prior,6,4,21,7
320,17669,prior,1,1,15,NULL
321,125272,prior,36,1,12,17
322,36278,prior,2,1,9,7
323,60766,prior,13,4,10,7
324,68950,prior,7,4,12,12
325,9579,prior,2,3,13,30
326,33704,prior,12,3,9,7
327,58707,prior,21,6,9,8
328,156112,prior,10,1,20,8
329,193602,prior,7,6,15,6
330,200502,prior,26,4,16,4
331,97427,prior,1,6,17,NULL
332,131796,prior,9,6,9,7
333,15068,prior,36,4,10,3
334,7114,prior,13,0,8,20
335,164484,prior,7,5,12,5
336,60174,prior,14,2,13,21
337,44598,prior,27,1,10,19
338,61454,prior,38,3,13,5
339,34416,prior,57,2,16,5
340,197300,prior,10,6,9,16
341,163059,prior,6,1,10,19
342,183968,prior,24,2,17,7
343,120226,prior,8,2,10,16
344,61721,prior,10,4,11,7
345,129475,prior,16,2,10,6
346,161624,prior,3,6,18,26
347,17155,prior,94,1,16,7
348,42181,prior,11,2,16,8
349,156353,train,9,3,16,30
350,96296,prior,45,3,14,7
351,26183,prior,18,5,14,1
352,158641,prior,7,2,18,6
353,173814,test,4,4,13,30
354,25862,prior,19,5,10,8
355,28266,prior,13,1,13,27
356,143707,prior,35,2,13,1
357,140609,prior,9,5,17,2
358,186138,prior,5,5,13,16
359,186816,prior,14,2,22,9
360,26871,prior,2,2,16,30
361,58087,prior,1,2,0,NULL
362,65561,prior,20,4,11,2
363,204484,prior,20,5,10,7
364,120742,prior,29,2,11,5
365,184277,prior,9,2,6,16
366,85359,prior,25,0,14,5
367,48730,prior,3,4,19,19
368,193730,prior,20,2,18,1
369,186407,prior,1,2,19,NULL
370,49030,prior,34,6,10,10
371,27212,prior,7,2,13,10
372,178268,prior,3,5,16,3
373,148175,prior,16,6,17,30
374,128335,prior,7,2,18,2
375,163102,prior,43,4,17,1
376,121858,prior,11,5,16,14
377,1868,prior,65,1,13,2
378,128710,prior,66,5,9,2
379,6801,prior,59,5,23,7
380,83896,prior,3,5,17,26
381,52824,prior,19,0,14,5
382,73283,prior,15,2,9,2
383,162083,prior,39,6,11,10
384,110980,prior,33,3,11,6
385,32268,prior,21,6,16,5
386,55492,test,8,0,15,30
387,160646,prior,13,1,14,14
388,176698,prior,17,0,13,8
389,11216,prior,8,4,9,5
390,166654,prior,48,0,12,9
391,116932,prior,6,1,17,1
392,37700,prior,5,3,8,7
393,111860,train,21,6,17,13
394,160625,prior,16,5,13,1
395,186576,prior,4,3,16,7
396,158728,prior,9,0,15,3
397,198708,prior,30,1,18,3
398,155472,prior,2,2,11,30
399,64024,prior,6,2,19,10
400,180454,prior,32,0,8,8
401,86884,prior,19,1,9,6
402,202359,prior,20,5,14,14
403,16181,prior,10,5,12,14
404,196585,prior,10,5,8,7
405,172653,prior,27,6,13,16
406,51849,prior,5,5,9,19
407,164176,prior,7,3,17,30
408,45631,prior,17,1,18,14
409,41502,prior,7,1,18,17
410,121327,prior,34,2,14,5
411,181193,prior,22,4,14,4
412,101249,prior,5,3,21,15
413,200178,prior,4,0,16,10
414,120775,test,18,5,14,8
415,48412,prior,1,4,18,NULL
416,34870,prior,13,4,13,3
417,193125,prior,3,6,1,17
418,33565,test,12,0,12,14
419,164717,prior,6,3,16,4
420,161762,prior,37,2,11,2
421,119095,prior,1,0,23,NULL
422,146023,prior,21,5,15,6
423,97970,prior,20,4,16,7
424,194925,prior,10,2,13,27
425,146671,prior,15,1,11,30
426,147194,prior,38,5,15,7
427,19785,prior,4,1,13,9
428,33799,prior,16,4,10,2
429,126918,prior,2,0,9,7
430,185289,prior,30,5,9,8
431,137716,prior,39,1,11,8
432,198921,prior,5,3,10,5
433,76234,prior,17,1,12,10
434,108854,prior,12,5,9,8
435,201679,prior,11,2,20,10
436,106876,prior,29,6,11,7
437,78090,test,21,0,9,7
438,39176,prior,19,4,15,3
439,56056,prior,13,3,10,9
440,155234,prior,4,0,15,21
441,132697,prior,5,1,13,7
442,185583,prior,39,2,20,13
443,174206,prior,42,1,12,3
444,201770,prior,2,5,13,20
445,63288,prior,1,6,0,NULL
446,22274,prior,93,5,13,0
447,173924,prior,36,4,14,7
448,111664,prior,9,5,19,12
449,177340,prior,7,3,17,30
450,79317,prior,19,1,8,5
451,167271,prior,24,2,16,9
452,190409,test,27,2,21,30
453,27896,prior,16,0,12,7
454,11335,prior,23,1,17,14
455,140595,prior,10,1,15,5
456,200032,train,6,0,12,30
457,105560,prior,16,1,16,30
458,148347,prior,2,2,12,10
459,18550,prior,10,1,8,29
460,151207,prior,3,5,13,27
461,40496,prior,8,0,15,12
462,103166,prior,4,5,18,4
463,92093,prior,18,1,17,5
464,162075,prior,8,6,12,3
465,65540,prior,1,1,16,NULL
466,101150,prior,47,3,10,6
467,140348,prior,8,6,10,22
468,69420,prior,5,1,15,25
469,54336,prior,3,5,16,7
470,4793,prior,14,5,15,30
471,52745,prior,5,6,18,30
472,22824,prior,26,2,20,1
473,77529,train,7,6,10,8
474,119489,test,5,3,20,30
475,190994,prior,3,0,0,6
476,201923,prior,2,5,10,5
477,13665,prior,3,4,12,30
478,81461,prior,3,0,12,8
479,31038,prior,9,2,9,16
480,56158,prior,4,4,18,4
481,61134,prior,31,5,17,8
482,192144,prior,17,5,11,11
483,115184,prior,30,1,11,11
484,187599,prior,16,3,14,30
485,124536,prior,15,3,8,7
486,146875,prior,11,2,16,6
487,83068,prior,61,0,10,1
488,127848,prior,22,1,19,4
489,23535,prior,5,2,12,30
490,32953,prior,40,1,15,6
491,186155,prior,4,3,12,13
492,92343,test,26,2,14,14
493,197703,prior,21,5,19,2
494,90250,prior,7,6,17,14
495,87872,prior,7,2,11,30
496,7580,prior,3,5,12,4
497,173962,test,8,0,18,0
498,139602,prior,10,1,14,12
499,68120,prior,7,6,16,4
500,26454,prior,8,0,8,22
501,86142,prior,40,2,12,16
502,153628,prior,22,5,17,3
503,201861,prior,20,3,15,9
504,2201,prior,10,3,17,22
505,110754,prior,4,1,16,30
506,8941,prior,24,3,8,30
507,192963,prior,4,3,9,15
508,51003,prior,6,5,11,10
509,79643,prior,6,1,9,3
510,203673,prior,42,0,10,5
511,61839,prior,5,6,17,13
512,133066,prior,12,2,16,2
513,152263,test,6,0,10,30
514,18201,prior,15,4,10,6
515,153416,prior,17,1,12,14
516,49838,prior,8,3,15,10
517,97952,test,66,0,16,6
518,20663,prior,44,0,20,7
519,100101,prior,11,2,14,30
520,165200,prior,13,3,8,0
521,203870,prior,25,2,9,3
522,35250,prior,6,1,15,12
523,171041,prior,8,5,15,2
524,152160,prior,3,6,8,30
525,167046,prior,5,2,12,15
526,17900,prior,9,0,23,10
527,39332,prior,6,2,21,10
528,162968,prior,16,5,13,1
529,34037,prior,6,4,10,30
530,187261,prior,6,2,10,5
531,99518,prior,2,6,18,2
532,100845,prior,7,2,15,2
533,141438,prior,7,6,18,11
534,99415,prior,5,4,16,19
535,179526,prior,28,5,9,2
536,138768,prior,1,1,9,NULL
537,180135,prior,15,2,8,3
538,129024,prior,17,0,10,11
539,189144,prior,13,1,11,14
540,93962,prior,8,0,9,22
541,186224,prior,12,2,15,9
542,12899,prior,30,1,15,3
543,30816,prior,1,0,12,NULL
544,173861,prior,34,5,20,6
545,35519,prior,7,0,9,1
546,141401,prior,18,2,11,4
547,113831,prior,6,4,11,9
548,150283,prior,1,4,10,NULL
549,120786,prior,4,2,21,8
550,36504,prior,29,5,16,10
551,91201,prior,21,1,10,28
552,18926,prior,22,4,13,12
553,180141,prior,17,1,10,7
554,34076,prior,4,2,22,30
555,40590,prior,70,2,7,4
556,87144,prior,2,4,10,30
557,153133,prior,13,3,20,30
558,5721,prior,7,1,11,6
559,22322,prior,20,1,4,16
560,67315,prior,1,6,17,NULL
561,153285,prior,7,1,16,15
562,199989,prior,41,3,10,9
563,153069,prior,1,3,23,NULL
564,8422,prior,34,6,17,15
565,45892,prior,47,5,10,4
566,133183,prior,4,1,19,11
567,186231,prior,2,2,16,27
568,66971,prior,8,2,9,20
569,201085,prior,9,2,19,7
570,16482,prior,12,3,14,7
571,78998,prior,5,1,11,9
572,150255,prior,2,4,13,30
573,42147,prior,16,1,14,9
574,113517,prior,19,6,10,6
575,202833,prior,92,4,9,2
576,38664,prior,5,1,16,6
577,22836,prior,18,3,18,3
578,179433,prior,3,6,12,14
579,125944,prior,5,0,13,7
580,38171,prior,46,3,13,5
581,76141,prior,3,6,17,7
582,193223,prior,6,2,19,10
583,71244,prior,20,4,15,11
584,78727,prior,2,6,19,6
585,137128,prior,5,0,18,7
586,31030,prior,16,2,11,11
587,13112,prior,39,2,12,8
588,145181,prior,11,2,15,6
589,160442,prior,3,1,15,6
590,198502,prior,31,4,18,7
591,31111,prior,14,5,17,8
592,105010,prior,3,0,8,21
593,57957,prior,7,1,7,17
594,84876,prior,2,1,22,28
595,32240,prior,68,4,6,3
596,60562,prior,11,0,10,12
597,43517,prior,12,1,19,2
598,81979,prior,4,6,9,8
599,5217,prior,4,1,12,5
600,34215,prior,8,2,13,4
601,94143,prior,1,6,12,NULL
602,147552,prior,5,4,23,6
603,95063,prior,87,6,12,10
604,26175,test,28,1,11,12
605,37949,prior,20,1,12,0
606,42671,prior,30,2,20,4
607,166458,prior,4,0,15,30
608,91030,prior,11,3,21,12
609,25883,prior,4,2,15,1
610,196148,prior,25,0,15,12
611,197381,prior,66,5,11,5
612,196148,prior,17,1,14,4
613,53840,prior,8,6,11,6
614,33769,prior,4,5,18,20
615,36811,prior,27,6,8,11
616,35556,prior,4,6,17,30
617,189312,prior,3,1,12,20
618,41594,prior,17,1,19,18
619,164110,prior,40,1,16,17
620,169324,prior,6,5,13,19
621,102288,prior,25,1,7,4
622,95549,prior,4,0,16,6
623,37804,prior,63,3,12,3
624,193012,prior,11,1,14,3
625,39460,prior,85,1,10,7
626,10747,prior,78,3,13,2
627,135886,prior,41,4,18,6
628,204912,prior,24,4,7,4
629,3351,prior,3,3,0,30
630,51955,prior,1,0,16,NULL
631,184099,train,7,3,9,30
632,84859,prior,20,3,8,6
633,54591,prior,5,1,14,5
634,190667,prior,21,0,16,5
635,127975,prior,9,0,16,5
636,63276,prior,12,5,17,3
637,1177,prior,23,5,17,10
638,167982,prior,45,6,14,6
639,194758,prior,5,1,12,4
640,34791,prior,4,6,0,30
641,29916,prior,7,2,9,7
642,98841,prior,5,1,14,21
643,17076,prior,1,0,8,NULL
644,151223,prior,1,5,16,NULL
645,146921,prior,6,2,8,30
646,76803,prior,4,1,11,10
647,137453,prior,45,3,16,1
648,138800,prior,28,6,0,6
649,135836,prior,1,4,7,NULL
650,38617,prior,52,6,12,4
651,181671,prior,4,5,6,7
652,94596,prior,15,5,13,9
653,120475,prior,2,2,13,15
654,54729,prior,52,5,13,7
655,85219,prior,28,3,20,5
656,201665,prior,1,3,14,NULL
657,193653,prior,11,2,10,5
658,80981,prior,6,2,7,7
659,177324,prior,15,5,10,7
660,131699,prior,15,5,13,1
661,185594,prior,13,1,7,30
662,120923,prior,39,3,10,1
663,10441,prior,20,5,20,1
664,135845,prior,4,0,12,7
665,28332,prior,7,6,23,14
666,5152,prior,2,5,12,13
667,37763,prior,2,3,16,2
668,38722,prior,10,1,15,9
669,96183,prior,25,3,12,4
670,196898,prior,1,5,13,NULL
671,73068,prior,1,1,15,NULL
672,30564,prior,37,6,22,0
673,200062,prior,49,0,8,11
674,163819,prior,48,1,11,8
675,200898,prior,37,6,15,5
676,165814,prior,18,0,17,7
677,173442,prior,8,2,19,22
678,198488,prior,9,1,12,5
679,102514,prior,14,4,14,3
680,134093,test,9,3,12,2
681,114191,prior,8,1,18,5
682,36916,prior,18,6,6,2
683,152537,prior,3,0,15,30
684,205709,prior,36,0,8,7
685,170906,prior,2,1,7,10
686,12445,prior,11,2,4,13
687,45258,prior,23,6,13,5
688,72738,prior,38,2,14,4
689,108932,prior,16,1,13,3
690,154391,prior,15,5,15,12
691,32597,prior,23,1,10,14
692,198151,prior,12,0,19,7
693,46277,prior,4,5,9,7
694,146044,prior,8,2,8,8
695,158663,prior,8,0,8,7
696,17551,prior,16,2,17,3
697,87185,prior,5,0,19,0
698,115540,prior,31,5,21,3
699,23011,prior,4,2,20,3
700,185577,prior,30,1,12,7
701,195186,prior,28,2,6,5
702,146600,prior,81,3,7,3
703,174262,prior,10,5,17,9
704,61148,prior,31,0,9,7
705,38886,prior,2,5,11,7
706,59106,prior,47,3,18,2
707,22757,prior,4,5,17,11
708,1873,prior,4,0,17,30
709,72533,prior,1,5,6,NULL
710,118558,prior,7,1,12,0
711,87889,prior,18,1,11,17
712,194230,prior,1,4,16,NULL
713,107098,prior,17,4,16,7
714,120615,prior,2,3,15,0
715,142186,prior,8,0,11,4
716,140474,prior,2,6,8,8
717,137387,prior,15,0,13,30
718,31957,prior,10,1,20,8
719,152953,train,31,1,12,27
720,8910,prior,4,6,13,7
721,62846,prior,19,1,13,13
722,69144,prior,26,0,18,3
723,21823,prior,16,3,19,4
724,200297,prior,13,2,9,5
725,142872,prior,10,1,17,9
726,57362,prior,25,2,17,7
727,175023,prior,7,1,17,18
728,21456,prior,2,1,11,12
729,48968,prior,7,1,13,6
730,190797,prior,42,3,9,2
731,173379,prior,15,0,19,1
732,31513,prior,6,5,20,19
733,62760,prior,3,5,21,13
734,74680,prior,33,1,9,4
735,7358,prior,29,6,19,2
736,55633,prior,3,1,15,8
737,84980,prior,3,1,17,8
738,173328,prior,11,1,11,9
739,111451,prior,27,5,12,2
740,6832,prior,6,4,22,30
741,105105,prior,6,2,14,1
742,150739,prior,4,0,17,10
743,82598,prior,72,3,7,1
744,70318,prior,6,5,20,6
745,10031,prior,50,5,12,5
746,48900,prior,9,0,12,18
747,18237,prior,10,1,8,8
748,116022,prior,19,0,23,7
749,190318,prior,2,1,14,24
750,71771,prior,34,5,10,8
751,148573,prior,2,5,17,2
752,148177,prior,6,3,13,22
753,22350,prior,1,3,9,NULL
754,6409,prior,33,6,11,28
755,5860,prior,53,3,12,1
756,26355,prior,12,6,13,2
757,68826,prior,13,4,15,16
758,168406,test,6,5,11,30
759,51823,test,7,5,10,30
760,130749,prior,9,3,15,3
761,85484,prior,3,1,16,30
762,41751,train,5,6,12,6
763,158164,prior,16,5,13,2
764,21807,prior,5,6,12,7
765,164956,prior,1,0,14,NULL
766,13554,prior,27,1,10,6
767,59476,prior,16,0,10,11
768,85120,prior,17,0,12,3
769,37708,prior,6,4,10,19
770,165709,prior,11,4,0,2
771,73968,prior,16,0,17,7
772,99707,prior,67,4,12,1
773,159379,prior,4,2,17,3
774,27650,train,25,0,17,12
775,149156,prior,3,5,8,16
776,149408,prior,8,0,20,7
777,7870,prior,2,6,13,8
778,113167,prior,26,0,13,17
779,90709,prior,18,1,16,5
780,58975,prior,4,1,19,30
781,142038,prior,1,2,14,NULL
782,174741,prior,34,2,10,8
783,3671,prior,8,6,15,27
784,84440,prior,13,0,13,4
785,77133,prior,5,0,20,3
786,14386,prior,19,0,13,14
787,139178,prior,59,5,18,1
788,47066,prior,19,2,13,9
789,143268,prior,1,4,21,NULL
790,60800,prior,10,4,16,5
791,11419,prior,4,3,13,26
792,148306,prior,19,2,9,7
793,91593,prior,2,1,14,12
794,141026,prior,23,0,15,8
795,180838,prior,14,5,16,7
796,15161,prior,83,5,14,2
797,174342,prior,2,4,8,6
798,111550,prior,75,3,9,2
799,10600,prior,21,5,18,8
800,132856,prior,3,5,7,3
801,146802,prior,6,6,19,6
802,61190,prior,5,6,8,3
803,8535,prior,17,5,8,7
804,61834,prior,7,5,17,5
805,170539,prior,40,0,8,7
806,123170,prior,8,1,15,6
807,179752,prior,32,3,8,12
808,82414,prior,7,3,9,1
809,59478,prior,30,2,14,7
810,139365,prior,45,6,14,3
811,121906,prior,36,5,17,5
812,41934,prior,1,0,16,NULL
813,28585,prior,8,4,8,30
814,2777,prior,17,0,19,21
815,156505,prior,56,6,15,4
816,112686,prior,9,0,15,1
817,50237,prior,61,4,15,3
818,164319,prior,6,3,14,29
819,57911,prior,3,5,23,18
820,179845,prior,49,2,12,13
821,165347,prior,5,6,9,30
822,37613,prior,65,2,16,4
823,147520,prior,5,3,10,8
824,108666,prior,29,0,11,5
825,74842,prior,2,2,11,6
826,87810,prior,2,3,9,23
827,71113,prior,1,3,8,NULL
828,197029,prior,18,1,16,6
829,141625,prior,7,1,10,7
830,119835,prior,89,0,15,2
831,155741,prior,6,6,14,20
832,3683,prior,20,0,10,7
833,183333,prior,3,6,15,4
834,112278,prior,7,5,18,14
835,1440,prior,3,2,14,6
836,131119,prior,2,5,18,3
837,89900,prior,8,6,13,7
838,162374,prior,3,6,14,26
839,176212,prior,6,0,15,7
840,191973,prior,10,5,9,1
841,56904,prior,4,4,13,30
842,44062,prior,10,6,11,7
843,166894,prior,9,5,15,6
844,27766,train,10,6,15,11
845,152992,prior,3,5,8,30
846,7864,prior,5,4,16,30
847,121984,prior,18,4,6,2
848,73835,prior,28,0,14,3
849,30009,prior,4,2,13,3
850,109048,prior,5,6,13,18
851,37473,prior,47,2,11,4
852,119249,prior,2,5,20,19
853,15634,prior,14,5,19,3
854,99802,prior,22,5,13,5
855,187038,prior,5,2,14,3
856,146969,prior,3,1,16,24
857,184695,prior,9,1,13,14
858,117961,prior,1,6,11,NULL
859,103018,prior,7,6,15,6
860,114223,prior,5,1,18,30
861,35487,prior,23,3,12,7
862,192657,prior,2,6,17,16
863,146499,prior,2,5,15,30
864,22835,prior,52,4,15,8
865,34108,prior,8,6,13,7
866,188071,prior,11,3,11,10
